nb	nn	category (-s=0, sine=1,preposisjon=2,sammenkrivning=3, omskriving=4)
politiets nettsider	nettsidene til politiet	2
Forbrukerrådets tester	testane til Forbrukarrådet	2
Difis kriterier	Difis kriterium	0
OSSEs tiltak	OSSE-tiltaka	3
EUEBs initiativ	EUEBs initiativ	0
OSSEs område	OSSE-området	3
rapporteringsperiodens transaksjoner	transaksjonane i rapporteringsperioden	2
Den europeiske unions virkemåte	verkemåten til Den europeiske unionen	2
barnas tanker	tankane til barna	2
Det faste råds anbefaling	tilrådinga frå Det faste rådet	2
Miljøverndepartementets budsjettforslag	budsjettforslaget frå Miljøverndepartementet	2
Den norske dataforenings brukervennlighetspris	brukarvennlegprisen til Den norske dataforeining	2
før fristens utløp	før fristen går ut	4
innen fristens utløp	innan fristen	4
IMOs forslag	IMOs forslag	0
departementets forslag	departementsforslaget	3
FNs konferanse	FN-konferansen	3
Justis- og beredskapsdepartementets lovavdeling	lovavdelinga i Justis- og beredskapsdepartementet	2
kommuneplanens arealdel	arealdelen av kommuneplanen	4
barns mediebruk	barns mediebruk	0
europeiske lands synspunkter	europeiske lands synspunkt	0
Verdensbankens utviklingsfond	Verdsbankens utviklingsfond	0
arbeidsgivers innrapportering	arbeidsgivars innrapportering	0
Verdensbankens og Det internasjonale valutafondets (IMF) utviklingskomité	utviklingskomiteen i Verdsbanken og Det internasjonale valutafondet (IMF)	2
Verdens helseorganisasjon WHO	Verdshelseorganisasjonen (WHO)	3
FNs organisasjon for utdanning, vitenskap og kultur	FNs organisasjon for utdanning, vitskap og kultur	0
FNs organisasjon for ernæring og landbruk	FNs organisasjon for ernæring og landbruk	0
Kontinentalsokkelkommisjonens arbeid	arbeidet i Kontinentalsokkelkommisjonen	2
Sikkerhetsrådets resolusjoner	resolusjonane frå Tryggingsrådet	2
EUs felles utenriks- og sikkerhetspolitiske samarbeid (ESDP)	tryggings- og forsvarssamarbeidet i EU (ESDP)	4
FNs konferanse	FN-konferansen	3
FNs miljøprogram (UNEP)	FNs miljøprogram (UNEP)	0
rådets arbeidsmetoder	arbeidsmetodane i rådet	2
politiets nettsider	nettsidene til politiet	2
OSSEs toppmøte	OSSE-toppmøtet	3
høgskolens læringsplattform	læringsplattforma til høgskulen	2
de nordiske lands politimyndigheter	politiet i dei nordiske landa	4
barns og/eller unges interesser	interessene til barn og/eller unge	2
plan- og bygningslovens bestemmelser	føresegnene i plan- og bygningslova	2
barn og unges interesser	interessene til barn og unge	2
FNs innsats	FN-innsatsen	3
OSSE og FNs kontor	OSSE og FN-kontoret	3
FNs konvensjon	FNs konvensjon	0
rettens medvirkning	medverknad frå retten	2
de øvrige regionale helseforetakenes journalløsninger	journalløysingane til dei andre regionale helseføretaka	2
departementets hjemmeside	heimesida til departementet	2
avtalens varighet	kor lenge avtalen varer	4
kommuneplanens arealdel	arealdelen i kommuneplanen	2
andres rettigheter	andres rettar	0
FNs høynivåpanel for	FNs høgnivåpanel for	0
etter lagmannsrettens syn	slik lagmannsretten ser det	4
NPTs artikkel III.2	artikkel III.2 i NPT	2
EUs nye byrå	det nye EU-byrået	4
EUs menneskerettsbyrå	EUs menneskerettsbyrå	0
NPEs drift	drifta i NPE	2
sin egen datters nakne rumpe	den nakne rumpa til si eiga dotter	4
styrets konklusjon	konklusjonen til styret	2
kommunens plikt	plikta til kommunen	2
kommunens planlegging	planlegginga i kommunen	2
Helsedirektoratets oppdrag	oppdraget til Helsedirektoratet	2
Helsedirektoratets brev	Helsedirektoratets brev	0
Finansdepartementets høringsbrev	Finansdepartementets høyringsbrev	0
departementets adgang til å	høvet departementet har til å	4
Stortingets behandling	stortingsbehandlinga	3
Fylkesmannens vedtak	fylkesmannsvedtaket	3
stemmeseddelens eller endringenes gyldighet	om stemmesetelen eller endringane er gyldige	4
kommuneplanens arealdel	arealdelen i kommuneplanen	2
De Forente Nasjoners generalforsamling	FNs hovudforsamling	4
FNs generalforsamling	FNs hovudforsamling	2
generalsekretærens initiativ	initiativet frå generalsekretæren	2
FNs tiår	FN-tiåret	3
Verdens matvarekonferanse	FNs matvarekonferanse	4
Høyesteretts offisielle åpning	Den offisielle opninga av Høgsterett	2
Katedralskolens bibliotek	biblioteket ved Katedralskolen	2
aktørenes samlede behov	det samla behovet hos aktørane	2
karantenelovens § 12 eller § 16	karantenelova § 12 eller § 16	4
Høyesteretts tidligere behandling	den tidlegare behandlinga i Høgsterett	2
lovens ordlyd	ordlyden i lova	2
FNs Sikkerhetsråds bindende vedtak	dei bindande vedtaka i FNs tryggingsråd	2
FN-paktens kapittel VII	kapittel VII i FN-pakta	2
forskrifts form	forskriftsform	3
De Forente Nasjoners Sikkerhetsråd	Tryggingsrådet i Dei sameinte nasjonane	2
FNs Sikkerhetsråd	FNs tryggingsråd	0
foretakenes virksomhet	verksemda i føretaka	2
Høyesteretts flertall	fleirtalet i Høgsterett	2
mannens rettigheter	mannsrettane	3
tingrettsdommerens rolle	rolla til tingrettsdommaren	2
de regionale helseforetakenes redegjørelse	utgreiinga frå dei regionale helseføretaka	2
styrets konklusjon	konklusjonen til styret	2
Utenriksdepartementets behandling	behandlinga i Utanriksdepartementet	2
UNHCRs anbefalinger	tilrådingane frå UNHCR	2
EUs adferdskodeks	EU-kodeksen	4
Generalforsamlingens resolusjon 49/60	generalforsamlingsresolusjon 49/60	3
kommunenes planfaglige kompetanse	den planfaglege kompetansen til kommunane	2
skadevolderens forsikringsselskap	forsikringsselskapet til skadevaldaren	2
Helsedirektoratets anbefalinger	tilrådingane frå Helsedirektoratet	2
ferjenes mannskap og passasjerer	mannskapet og passasjerane på ferjene	2
barn og unges psykiske helse	den psykiske helsa til barn og unge	2
styrets arbeid	styrearbeidet	3
styrets konklusjon	konklusjonen til styret	2
Europarådets medlemmer 	medlemslanda i Europarådet	2
OECDs handelskomité	handelskomiteen i OECD	2
EMDs dommer	dommane frå EMD	2
EUs nye forordning for personvern	den nye EU-forordninga for personvern	2
NPEs flytteprosjekt	flytteprosjektet til NPE	2
IMFs spesielle låneordninger	dei spesielle låneordningane til IMF	2
IMFs ordinære virksomhet	den ordinære verksemda til IMF	2
UDIs nettside	nettsida til UDI	2
UDIs vedtak	vedtak UDI-vedtaka	3
avtalens vedlegg II	vedlegg II til avtalen	2
avtalens protokoll A	protokoll A til avtalen	2
FNs Sikkerhetsråd	FNs tryggingsråd	4
FN-paktens kapittel VII	kapittel VII i FN-pakta	2
gruppens prioriteringer	prioriteringane til gruppa	2
FNs bidragsskala	bidragsskalaen til FN	2
FNs konferanse	FN-konferansen	3
FNs utviklingsaktiviteter	utviklingsaktivitetane til FN	2
FNs humanitære innsats og utviklingsaktiviteter	den humanitære innsatsen og utviklingsaktivitetane til FN	2
SOs nettsider	nettsidene til SO	2
NATOs ulike fellesbudsjett	dei ulike fellesbudsjetta i NATO	2
EUs ytre handelspolitikk	den ytre handelspolitikken i EU	2
Nærings- og handelsdepartementets budsjett	budsjettet til Nærings- og handelsdepartementet	1
KS sin folkevalgtopplæring	folkevaldopplæringa i KS	2
EUs medlemsland	medlemslanda i EU	2
EUs dagsorden	saklista i EU	2
statens kostnader	dei statlege kostnadene	4
statens kostnader	dei statlege kostnadene	4
IMOs forslag	IMO-forslaget	3
departementets forslag	departementsforslaget	3
folketrygdens grunnbeløp (G)	grunnbeløpet (G) i folketrygda	2
folketrygdens pensjoner	pensjonane i folketrygda	2
den enkeltes identitet	identiteten til kvar enkelt	0
EMKs kontrollsystem	kontrollsystemet til EMK	2
virksomhetens mål	måla for verksemda	2
selskapets virksomhet	verksemda	4
de nordiske lands utenrikstjenester	utanrikstenestene i dei nordiske landa	2
institusjonenes evne	evna i institusjonane	2
deltakerlandenes nasjonale gjennomføring av kontrollen	den nasjonale gjennomføringa av kontrollen i deltakarlanda	2
leverandørlands nasjonale kontroll med formidling av våpen	den nasjonale kontrollen med formidlinga av våpen i leverandørlanda	2
alliansens forum	forumet	4
OSSEs sendelag	sendelaga til OSSE	2
nemndas arbeid	arbeidet i nemnda	2
nemndas saksmengde	aksmengda i nemnda	2
lovens bestemmelser	føresegnene i lova	2
de enkelte sendelags arbeid	arbeidet i dei enkelte sendelaga	2
Utenriksdepartementets saksbehandling	saksbehandlinga i Utanriksdepartementet	2
NATOs utvidelse	NATO-utvidinga	3
aksjeeiernes ansvar	ansvaret aksjeeigarane har	4
selskapets virksomhet	verksemda til selskapet	2
samvirkeforetakets eiendeler, rettigheter og forpliktelser	eigedelane, rettane og skyldnadene samvirkeføretaket har	4
utvalgets medlemmer	utvalsmedlemene	3
konto-beløpets størrelse	akontobeløpet	4
pasienters behov	pasientbehova	3
foreningens medlemmer	medlemmene i foreininga	2
den samiske befolkningens behov	behova til den samiske befolkninga	2
folkehelselovens § 5	folkehelseloven § 5	4
befolkningens helse	folkehelsa	4
institusjonens klagenemnd	klagenemnda for institusjonen	2
foretakets økonomiske stilling	den økonomiske stoda for føretaket	2
Helsetilsynets vurdering	vurderinga	4
partenes andel	partane sine andelar	1
regjeringens redegjørelse	utgreiinga frå regjering	2
årsverkets størrelse	storleiken på årsverket	2
elevers grunnleggende ferdigheter	dei grunnleggjande ferdigheitene til elevane	2
dagens situasjon	situasjonen i dag	2
OSSEs partnerland	partnarlanda til OSSE	2
avtalens materielle bestemmelser	dei materielle reglane i avtalen	2
OSSEs sendelag	sendelaget 	4
pasientens tilstand eller sykdom	tilstanden eller sjukdomen til pasienten	2
barnas beste	det beste for barnet	2
Enhetsregisterets vedtak	Einingsregisterets vedtak	0
sakens materielle problemstilling	den materielle problemstillinga i saka	2
sakens utfall	utfallet i saka	2
tingrettens dom	tingrettsdommen	3
domstolenes prøvelsesrett	prøvingsretten i domstolane	2
kommunens planleggere	planleggjarane i kommunen	2
gruppens formål	gruppa har til formål	4
OSSEs toppmøte	OSSE-toppmøtet	3
styrets leder	styreleiaren	3
Norges bidrag	bidraget frå Norge	2
de regionale helseforetakenes og helseforetakenes arbeid 	arbeidet i dei regionale helseføretaka og helseføretaka	2
foretakets virksomhet	verksemda	3
partenes andel	partane sin del	1
funksjonshemmedes organisasjoners rådgivende rolle	den rådgivande rolla til organisasjonane for funksjonshemma	4
funksjonshemmedes liv	livet til funksjonshemma	2
fornærmedes alder	alderen til den fornærma	2
OSSEs omfattende arbeid	OSSE-engasjementet	3
kvinnens eget ønske	eige ønske frå kvinna	2
regionale organers virksomhet	verksemda i regionale organ	2
regjeringens forslag	regjeringa sitt framlegg	1
barns ferdigheter	barns ferdigheiter	0
barnas utvikling	utviklinga til barna	2
barns oppvekstmiljø	oppvekstmiljøet til barna	2
barnas initiativ	initiativ frå barna	2
EUs naboland	EUs naboland	0
rettsstatens prinsipper	rettsstatsprinsippa	3
OSSEs prosjektkontor	prosjektkontoret til OSSE	2
rettsstatens prinsipper	rettsstatsprinsippa	3
Helsedirektoratets rapport	Helsedirektoratets rapport	0
barnets tilknytning	tilknytinga barnet har	4
FNs spesialrepresentanter	spesialrepresentantar frå FN	2
barns stemmer	barns stemmer	0
verdens mest lukkede land	dei mest lukka landa i verda	2
Kartverkets økte kostnader	Kartverkets auka kostnader	0
andre lands myndigheter	styresmaktene i andre land	2
lagmannsrettens vurdering	vurderinga i lagmannsretten	2
kvinnens plager	plagene kvinna hadde	4
jordskifteoverrettens og lagmannsrettens avgjørelser	avgjerdene i jordskifteoverretten og lagmannsretten	2
lagmannsrettens kjennelse	orskurden i lagmannsretten	2
påtalemyndighetens anke	anken frå påtalemakta	2
lagmannsrettens kjennelse	orskurden i lagmannsretten	2
Riksrevisjonens rapport	Riksrevisjonens rapport	0
helseforetakenes praksis	praksisen i helseføretaka	2
pasientskadelovens virkeområde	verkeområdet for pasientskadelova	2
FNs fond og programmer	FNs fond og program	0
FNs utviklingsprogram UNDP	FNs utviklingsprogram UNDP	0
FNs barnefond UNICEF	FNs barnefond UNICEF	0
FNs befolkningsfond UNPFA	FNs befolkningsfond UNPFA	0
FNs miljøprogram UNEP	FNs miljøprogram UNEP 	0
Verdens matvareprogram 	FNs matvareprogram WFP	4
dens beslutning	avgjerda deira	4
lagmannsrettens beslutning	avgjerda i lagmannsretten	2
lagmannsrettens avgjørelse	avgjerda til lagmannsretten	2
lagmannsrettens dom	lagmannsrettsdommen	3
sakens utfall	utfallet i saka	2
lagmannsrettens dom	dommen i lagmannsretten	2
OSSEs arbeid	arbeidet OSSE gjer	4
Interpols database	Interpol-databasen	3
departementets vurdering	departementet si vurdering	1
lovens formål	formålet med lova	2
i lovens forstand	ifølge lova	4
lovens § 13	§ 13 i lova	2
en kommunes grunnskoletilbud	grunnskoletilbodet i ein kommune	2
lovens krav	krava i lova	2
lovens intensjon	intensjonen i lova	2
plan- og bygningslovens § 3-2 fjerde ledd	plan- og bygningslova § 3-2 fjerde ledd	4
kommunens arbeid	arbeid i kommunen	2
lovens formål	formålet i lova	2
straffelovens jurisdiksjonsregler	jurisdiksjonsreglane i straffelova	2
jordskifterettens avgjørelse	avgjerda i jordskifteretten	2
i vegtrafikklovens forstand	i vegtrafikklova	3
Grunnlovens § 93	Grunnlova § 93	2
revisors uavhengighet	revisors sjølvstende	0
kjøpernes mangelskrav	mangelskravet frå kjøparane	2
departementets ulike støtteordninger	dei ulike tilskotsordningane	4
opplæringslovens § 13-7b	opplæringslova § 13-7b	4
kommunestyrets/fylkestingets konstituerende møte	konstituerande møte i kommunestyret/fylkestinget	2
FNs sikkerhetsråd	FNs tryggingsråd	2
klagenemndas medlemmer	medlemmene i klagenemnda	2
andre medlemmers argumentasjon	argument frå dei andre medlemmene	2
stipendiatens veiledere	rettleiarane til stipendiaten	2
lovens system	systemet i lova	2
Europarådets medlemsstater	medlemsstatane i Europarådet	2
lands nasjonale eksportkontroll	den nasjonale eksportkontrollen	4
lands nasjonale eksportkontroll	den nasjonale eksportkontrollen	4
NPEs språkveileder	språkrettleiaren til NPE	2
landets sikkerhet og integritet	nasjonal tryggleik og integritet	4
dets krav	dei krava	4
dagens utviklingspolitikk	utviklingspolitikken i dag	2
Norges interesser	dei norske interessene	4
Japans interesse	japansk interesse	4
organisasjonens prinsipper og mål	prinsippa og måla til organisasjonen	2
avtalens artikkel 3	artikkel 3 i avtalen	2
avtalens protokoll B	protokoll B til avtalen	2
forvaltningens faglige rådgiver	fagleg rådgivar for forvaltninga	2
sysselmannens miljøvernarbeid	miljøvernarbeidet til Sysselmannen	2
flerbruksvarenes sivile anvendelsesmuligheter	dei sivile bruksområda for fleirbruksvarer	4
lagmannsrettens dom	lagmannsrettsdommen	3
kommunenes prioriteringer	prioriteringane til kommunane	1
selgerens kreditorer	kreditorane til seljaren	2
planens bestemmelsesområder	føresegnsområda i planen	2
Stortingets behandling	stortingsbehandlinga	3
leiesummens størrelse	leigesummen	4
FNs konvensjon	FNs konvensjon	0
det enkelte lands grenser	kvart enkelt lands grenser	4
Helsetilsynets tilsynsvirksomhet	tilsynsverksemda til Helsetilsynet	2
på konkursdebitors hånd	på konkursdebitors hand	0
andre lands tjenester på området	tenester på området i andre land	2
NVEs forslag	NVEs forslag	0
bankens utlån	utlåna	3
Norges engasjement	Noregs engasjement	0
selskapets styre	styret i selskapet	2
Stortingets vedtak	vedtaket i Stortinget	2
folkehelseinstituttets personvernombud	personvernobodet i Folkehelseinstituttet	4
folketrygdlovens § 2-3	folketrygdlova § 2-3	4
barnets velferd	velferda til barnet	2
helseforetakenes bruk	bruken i helseføretaka	2
OSSEs virksomhet	arbeidet til OSSE	2
ODIHRs selvstendige rolle	den sjølvstendige rolla til ODIHR	2
Østersjørådets virksomhet	verksemda i Austersjørådet	2
domfeltes side	den domfelte si side	1
kommunens avgjørelser	avgjerdene til kommunen	2
kommunens side	kommunen si side	1
en nabos strandrett	strandretten til ein nabo	2
naboens side	naboen si side	1
arbeidsgivers side	arbeidsgivaren si side	1
IMFs hjemmeside	nettsida til IMF	4
tre-fire års oppfølging	tre-fire år med oppfølging	2
flyktningkonvensjonens formål	formålet i flyktningkonvensjonen	2
OECD's mønster	OECD-mønsteret	3
tingrettens dom	tingrettsdommen	3
pressens uavhengighet	at pressa skal vere uavhengig	4
Enhetsregisterets kontroll	Einingsregisterets kontroll	0
det lokale og regionale næringslivets behov for arbeidskraft	behovet for arbeidskraft i næringslivet lokalt og regionalt	4
bedrifters lønnsplikt	lønnsplikta	4
den tidligere tariffavtalens opphør	at den tidlegare tariffavtalen opphøyrde	4
kommunenes/fylkeskommunenes egenkontroll	eigenkontrollen hos kommunane/fylkeskommunane	2
OSSEs atferdskodeks	OSSEs åtferdskodeks	0
Sikkerhetsforumets mandat	mandatet til Forumet for tryggingssamarbeid	2
kommuneplanens arealdel	arealdelen av kommuneplanen	2
dagens flyrutekjøp	dagens flyrutekjøp	0
Europarådets fagområder	Europarådets fagområde	0
departementets område	områda til departementet	2
Nordens nærområde	Nordens nærområde	0
tjenestenes responsevne og mobilitet	responsevna og mobiliteten i tenestene	2
statens skattekrav	statens skattekrav	0
garantiens – og lovens – dekningsområde	dekningsområdet for garantien – og lova	2
kvinners politiske og økonomiske deltakelse	den politiske og økonomiske deltakinga for kvinner	2
virksomhetens tjenester	tenestene til verksemda	2
avdødes gjeld og andre forpliktelser	gjeld og andre forpliktingar etter den avdøde	2
kommunenes virksomhet	verksemda i kommunane	2
lovens grense	grensa i lova	2
erstatningens størrelse	storleiken på erstatninga	2
kommunens særlige ansvar	det særlege ansvaret til kommunen	2
kommunens planleggere	planleggjarane i kommunen	2
barns og unges livsmiljø og utfoldelsesmuligheter	livsmiljøet og utfaldingsmoglegheitene til barn og unge	2
de unges budskap	bodskapen frå dei unge	2
barn og unges utvikling, trivsel og oppvekstvilkår	utviklinga, trivselen og oppvekstvilkåra for barn og unge	2
kommunens overordnede planlegging	planlegginga i kommunen	4
kommunens handlingsplan	handlingsplanen i kommunen	2
barn og unges oppvekst og nærmiljø og aktivitetsmuligheter	oppvekst, nærmiljø og aktivitetsmoglegheiter for barn og unge	2
kommuneplanens arealdel	arealdelen av kommuneplanen	2
forslagstillers ansvar	at forslagsstillaren har ansvar	4
pasientens helsetjeneste	helsetenesta til pasienten	2
bestemmelsens andre og tredje ledd	andre og tredje ledd i føresegna	2
nærmiljøets fysiske utforming	den fysiske utforminga av nærmiljøet	2
planens bestemmelser	føresegnene i planen	2
barn og unges interesser	interessene til barn og unge	2
en ukes varighet	ei veke	4
landets økonomiske velferd	den økonomiske velferda i landet	2
andres rettigheter og friheter	andres rettar og fridom	0
Høyesteretts flertall	fleirtalet i Høgsterett	2
avtalens materielle bestemmelser	dei materielle reglane i avtalen	2
tiltaltes motiv	motivet til tiltalte	2
lovens kommentarer	kommentarane til lova	2
barnets beste	barnets beste	0
de biologiske foreldrenes vilje	det dei biologiske foreldra ville	4
Samerettsutvalgets forslag	forslaget frå Samerettsutvalet	2
FNs menneskerettskomité	FNs menneskerettskomité	0
den norske stats rett	den retten den norske stat har	4
de nordiske lands sterke engasjement	det sterke nordiske engasjementet	4
Sikkerhetsrådets resolusjonene 1373 og 1540	tryggingsrådsresolusjon nr. 1373 og 1540	3
Danmarks resolusjon	den danske resolusjonen	4
Mexicos resolusjon	den mexicanske resolusjonen	4
medienes rammevilkår	rammevilkåra for media	2
FNs enheter	FN-einingane	3
FNs komiteer	FN-komiteane	3
lærlingenes læringsmiljø	læringsmiljøet til lærlingane	2
bankenes motsykliske kapitalbuffer	den motsykliske kapitalbufferen i bankane	2
sammenslutningens vedtekter	vedtektene til samanslutninga	2
Den norske kirkes lokale enheter	dei lokale einingane i Den norske kyrkja	2
lovgivers klare forutsetninget	dei klare føresetnadene til lovgivaren	1
fylkesnemndas og domstolenes beslutningsgrunnlag, avveining og begrunnelse	avgjerdsgrunnlag, avveging og grunngiving i fylkesnemnda og domstolane	2
saksøkerens rettssikkerhet	rettstryggleiken til saksøkaren	2
domstolenes prøvelsesrett	prøvingsretten for domstolane	2
EØS-avtalens protokoll 31	protokoll 31 til EØS-avtalen	3
FNs arbeid	FN-arbeidet	3
utvalgets forslag	forslaga frå utvalet	2
lovens regler	lovreglane	3
reineiernes rett til kulturutøvelse	retten til kulturutøving for reineigarane	2
foretakets kontor	lagskontoret	3
OSSEs arbeid	OSSE-arbeidet	3
brukernes behov	behovet til brukarane	2
sektorenes arbeid	arbeidet i sektorane	2
rettsstatens prinsipper	rettsstatsprinsippa	3
myndighetenes bestrebelser	arbeidet styresmaktene gjer	4
medlemsstatenes forfatningsdomstoler/ eller den øverste instans i det vanlige domstolsapparat	forfatningsdomstolane eller øvste instans i det vanlege domstolsapparatet hos medlemsstatane	2
minoritetenes rettigheter	rettane til minoritetane	2
OSSEs nærvær	nærværet til OSSE	2
elevenes demokratiopplæring	demokratiopplæringa til elevane	2
elevenes hjemkommune	heimkommunane til elevane	2
elevenes faglige kompetanse	den faglege kompetansen til elevane	2
elevens læringsprosess	læringsprosessen til elevane	2
virksomhetens økonomiske disposisjoner og bruk av fullmakter	økonomiske disposisjonar og bruk av fullmakter i verksemdene	2
virksomhetenes arbeid	arbeidet i verksemdene	2
sakenes utfall	utfallet av sakene	2
landets helseforetak	helseføretaka i landet	2
traktatens bestemmelser	føresegnene i traktaten	2
traktatens bestemmelser	desse føresegnene	4
EUs nye grenser	dei nye EU-grensene	3
barn og unges behov	behova til barn og unge	2
svalbardbudsjettets inntekter	inntektene i svalbardbudsjettet	2
myndighetenes krav	krava frå myndigheitene	2
Helsedirektoratets kvalitetsindikatorer	Helsedirektoratets kvalitetsindikatorar	0
Sivilombudsmannens besøksrapporter	besøksrapportane frå Sivilombodsmannen	2
Helsetilsynets rapporter	rapportane frå Helsetilsynet	2
UDIs virksomhet	UDIs verksemd	0
departementets forslag	departementet sitt forslag	1
fornærmede og domfeltes muligheter	moglegheitene for den fornærma og den domfelte	4
tingrettens dom	tingrettsdommen	3
pasientens grunnlidelse	grunnlidinga til pasienten	2
lovens formål	formålet med lova	2
det regionale helseforetakets oppfølging	oppfølginga frå det regionale helseføretaket	2
FNs utviklingsaktiviteter	utviklingsverksemda i FN	2
mannens smerter	smertene til mannen	2
Nordens nærområder	nærområda til Norden	2
sykehusenes egne avviksmeldinger	sjukehusa sine eigne avviksmeldingar	1
de regionale helseforetakenes innretning	kinnretninga i dei regionale helseføretaka	4
årsmøtets valgrett	valretten for generalforsamlinga	2
pressens oppgave	pressa har til oppgåve	4
andres grove mishandling av barn	grov mishandling av barn utført av andre	4
næringslivets behov	næringslivsbehova	3
Svalbards attraksjon	Svalbards attraksjon	0
landets energiressurser	energiressursane i landet	2
institusjonens styre	styret i institusjonen	2
departementets myndighet	departementet si mynde	1
samfunnets kontrollbehov	kontrollbehovet i samfunnet	2
plan- og bygningslovens § 21-10	plan- og bygningslova § 21-10	4
regjeringas satsing	satsinga til regjeringa	2
FNs finansielle ressurser	dei finansielle ressursane til FN	2
sakens hovedspørsmål	hovudspørsmålet i saka	2
tredje generasjons mobiltelefoni	tredje generasjons mobiltelefoni	0
kvinnens helse	helsa til kvinna	1
de andre helseregionenes barnepalliative team	dei barnepalliative teama i dei andre helseregionane	2
alle relevante aktørers bidrag	bidraga frå alle relevante aktørar	2
dagens forskrift	dagens forskrift	0
selskapets oppstartsportefølje	oppstartsporteføljen til selskapet	2
selskapets framtidige oppgaver	dei framtidige oppgåvene selskapet skal utføre	4
institusjonens økonomiske prioriteringer	dei økonomiske prioriteringane til institusjonen	2
de nordiske lands ambassader og delegasjoner	nordiske ambassadar og delegasjonar	4
lagmannsrettens avgjørelse	avgjerda i lagmannsretten	2
Folkerettskommisjonens arbeid	arbeidet i Folkerettskommisjonen	2
domfeltes politiforklaring	politiforklaringa til den domfelte	2
den enkeltes trivsel, utvikling og læring	trivsel, utvikling og læring for kvar enkelt	4
lovens krav	lovkrava	3
for den saks skyld	for den saks skuld	0
for en gangs skyld	for ein gongs skuld	0
for ordens skyld	for ordens skuld	0
for syns skyld	for syns skuld	0
for skams skyld	for skams skuld	0
for guds skyld	for guds skuld	0
for himmelens skyld	for guds skuld	0
for alle tilfellers skyld	for å vere på den sikre sida	4
for sikkerhets skyld	for å vere på den sikre sida	4
for kjærlighetens skyld	for kjærleiks skuld	4
for mine foreldres skyld	for mine foreldres skuld	0
for min framtids skyld	for mi framtids skuld	0
for min egen families skyld	for min eigen families skuld	0
for hans egen skyld	for hans eiga skuld	0
for mine egne barns skyld	for mine eigne barns skuld	0
for Arsenals skyld	for Arsenals skuld	0
for Israels skyld	for Israels skuld	0
for Torleivs skyld	for Torleivs skuld	0
for vinnings skyld	for vinnings skuld	0
for selskaps skyld	for selskaps skuld	0
for gammelt vennskaps skyld	for gammalt vennskaps skuld	0
for komfortens skyld	for komfortens skuld	0
for turens skyld	for turens skuld	0
for lagets skyld	for lagets skuld	0
for familiens skyld	for familiens skuld	0
for båtens skyld	for båtens skuld	0
hevn for hevnens skyld	hevn for hemnens skuld	0
bevisene for mannens skyld	bevisa for mannens skuld	0
i årets sesong	denne sesongen	4
resten av årets måneder	resten av året	4
i årets vårsesong	 denne vårsesongen	4
i årets sommersesong	denne sommarsesongen	4
i årets skisesong	denne skisesongen	4
resten av årets måneder	resten av året	4
Natos budsjett	Nato-budsjettet	3
Sveriges lag	det svenske laget	4
myndighetenes strategimål	strategimålet til styresmaktene	2
Sveriges statsminister Ulf Kristersson	Sveriges statsminister Ulf Kristersson	0
